源ID,源类,基102原表行号,问题条目,问题归属,规则包湿法映射命中,已确认NH3终态问题,治理候选关联待核,已量化数值变化项数,已量化数值变化污染物,原治理名称,NH3当前终态,NH3按现协议应有终态,当前取用治理类别,原设备对应治理类别,当前类别候选数,原设备类别候选数,B0源污染物参照记录行号
SRC-RAW-BF8FABB62BF404DE7259,工业锅炉,118,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,31493；31494；31495；31496；31497；31498；31499；31500；31501
SRC-RAW-308A0403BAB78A56EA33,工业锅炉,182,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,7895；7896；7897；7898；7899；7900；7901；7902；7903
SRC-RAW-FF1045ABC23B668A936E,工业锅炉,235,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,4,41717；41718；41719；41720；41721；41722；41723；41724；41725
SRC-RAW-75592E83770CD2701D5A,工业锅炉,236,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,4,19343；19344；19345；19346；19347；19348；19349；19350；19351
SRC-RAW-75DF4E6BB41F91F299F2,工业锅炉,237,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,4,19415；19416；19417；19418；19419；19420；19421；19422；19423
SRC-RAW-9D59E477248611165BB7,工业锅炉,238,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,4,25994；25995；25996；25997；25998；25999；26000；26001；26002
SRC-RAW-81733743F341489CC94D,工业锅炉,242,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,21386；21387；21388；21389；21390；21391；21392；21393；21394
SRC-RAW-6ED484F333A78A6E17D7,工业锅炉,243,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,18290；18291；18292；18293；18294；18295；18296；18297；18298
SRC-RAW-91A2B98FFF56709CD6F5,工业锅炉,402,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,23978；23979；23980；23981；23982；23983；23984；23985；23986
SRC-RAW-1B11FEEA3B4289555FFE,工业锅炉,538,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,4592；4593；4594；4595；4596；4597；4598；4599；4600
SRC-RAW-FC7B087AFDADA5374D70,工业锅炉,553,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,41231；41232；41233；41234；41235；41236；41237；41238；41239
SRC-RAW-F8955A8A68B36C170B38,工业锅炉,554,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,40583；40584；40585；40586；40587；40588；40589；40590；40591
SRC-RAW-6ED412173EE3115F6A5E,工业锅炉,555,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,18281；18282；18283；18284；18285；18286；18287；18288；18289
SRC-RAW-B9E105D6FF54717E0E13,工业锅炉,556,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,30503；30504；30505；30506；30507；30508；30509；30510；30511
SRC-RAW-A0663FFB1B7B8DF4A263,工业锅炉,560,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,26588；26589；26590；26591；26592；26593；26594；26595；26596
SRC-RAW-5F9FA878D7B7BD57772F,工业锅炉,561,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,15761；15762；15763；15764；15765；15766；15767；15768；15769
SRC-RAW-528084718D6470135B6F,工业锅炉,562,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,13403；13404；13405；13406；13407；13408；13409；13410；13411
SRC-RAW-C41D91B98EF8B2B548EA,工业锅炉,563,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,32195；32196；32197；32198；32199；32200；32201；32202；32203
SRC-RAW-87D9CC69CF5E7347EA96,工业锅炉,601,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,22583；22584；22585；22586；22587；22588；22589；22590；22591
SRC-RAW-DB4F1902B71327C15806,工业锅炉,629,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,35786；35787；35788；35789；35790；35791；35792；35793；35794
SRC-RAW-E2904304246853CD4377,工业锅炉,640,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,36974；36975；36976；36977；36978；36979；36980；36981；36982
SRC-RAW-CF4CE62BF0FDA7FBCE35,工业锅炉,745,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,33770；33771；33772；33773；33774；33775；33776；33777；33778
SRC-RAW-95F6D5B0A630F773DA4A,工业锅炉,753,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,24734；24735；24736；24737；24738；24739；24740；24741；24742
SRC-RAW-0AF7A8DF6AD38D37CD11,工业锅炉,837,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,6,1793；1794；1795；1796；1797；1798；1799；1800；1801
SRC-RAW-0D2C2E9A7E265088369B,工业锅炉,838,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,6,2180；2181；2182；2183；2184；2185；2186；2187；2188
SRC-RAW-3B9378741FBC88834EFE,工业锅炉,839,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,6,9650；9651；9652；9653；9654；9655；9656；9657；9658
SRC-RAW-56F033A2396BA8C09BB9,工业锅炉,840,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,6,14267；14268；14269；14270；14271；14272；14273；14274；14275
SRC-RAW-1AE27443669F5EB68673,火电热力,841,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,3,4529；4530；4531；4532；4533；4534；4535；4536；4537
SRC-RAW-E61DCB1BC30CF2D92EAC,火电热力,842,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,3,37424；37425；37426；37427；37428；37429；37430；37431；37432
SRC-RAW-6DC0FEB3DC2E86409A23,火电热力,855,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,3,18047；18048；18049；18050；18051；18052；18053；18054；18055
SRC-RAW-9BFC45009A24B93EA599,火电热力,865,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,4,25724；25725；25726；25727；25728；25729；25730；25731；25732
SRC-RAW-64FE853265E18A8D10CD,工业锅炉,875,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,16697；16698；16699；16700；16701；16702；16703；16704；16705
SRC-RAW-B87685FA95BF46796F7A,火电热力,922,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,1,30287；30288；30289；30290；30291；30292；30293；30294；30295
SRC-RAW-41252FD72D5FEE379D1F,工业锅炉,942,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,10667；10668；10669；10670；10671；10672；10673；10674；10675
SRC-RAW-73B3CA59765D5D325DCB,火电热力,1024,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,3,19127；19128；19129；19130；19131；19132；19133；19134；19135
SRC-RAW-8435FB77110F5FC4DC38,火电热力,1025,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,3,21935；21936；21937；21938；21939；21940；21941；21942；21943
SRC-RAW-5B6A8AE10D75F5AF206A,火电热力,1034,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,3,15122；15123；15124；15125；15126；15127；15128；15129；15130
SRC-RAW-C332975B9DFE7FEDD45D,火电热力,1035,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,3,32060；32061；32062；32063；32064；32065；32066；32067；32068
SRC-RAW-AF4055E81C013D09C04D,火电热力,1036,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,3,28721；28722；28723；28724；28725；28726；28727；28728；28729
SRC-RAW-C308A5FC792155E6DA27,工业锅炉,1109,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,32015；32016；32017；32018；32019；32020；32021；32022；32023
SRC-RAW-53472C3411002ACF1E05,工业锅炉,1413,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,13592；13593；13594；13595；13596；13597；13598；13599；13600
SRC-RAW-4412309C9F411C103CFD,工业锅炉,1450,F02_湿式治理成分遗漏；F03_NH3终态判定,规则包映射；参照生成程序及核算引擎,True,True,False,5,SO2；PM10；PM2.5；BC；OC,机械+湿法除尘脱硫,not_involved,calculated（经验零）,,,,,11117；11118；11119；11120；11121；11122；11123；11124；11125
SRC-RAW-FA6CE82F65D745F12FCF,工业锅炉,1451,F02_湿式治理成分遗漏；F03_NH3终态判定,规则包映射；参照生成程序及核算引擎,True,True,False,5,SO2；PM10；PM2.5；BC；OC,机械+湿法除尘脱硫,not_involved,calculated（经验零）,,,,,40916；40917；40918；40919；40920；40921；40922；40923；40924
SRC-RAW-2C6198E59A019129E4ED,工业锅炉,1458,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,7175；7176；7177；7178；7179；7180；7181；7182；7183
SRC-RAW-17F4109476657E8B4986,火电热力,1517,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,2,4034；4035；4036；4037；4038；4039；4040；4041；4042
