raw_value,standard_fuel,mapping_status,observed_count,source_type,note
一般烟煤,煤炭,mapped,241,reviewed_operational_mapping,同义词或标准原词
其他洗煤,煤炭,mapped,1,reviewed_operational_mapping,同义词或标准原词
其他焦化产品,其它焦化产品,mapped,1,reviewed_operational_mapping,同义词或标准原词
其他燃料,,unmapped,48,reviewed_operational_mapping,燃料事实不足，不依据描述推断
其他燃料（燃气锅炉，又对比低位发热量，判断可能是重油热裂解煤气）,,unmapped,4,reviewed_operational_mapping,燃料事实不足，不依据描述推断
其他石油制品,其它石油制品,mapped,4,reviewed_operational_mapping,同义词或标准原词
原油,原油,mapped,4,reviewed_operational_mapping,同义词或标准原词
原煤,煤炭,mapped,98,reviewed_operational_mapping,同义词或标准原词
发生炉煤气,其它煤气,mapped,1,reviewed_operational_mapping,同义词或标准原词
天然气,天然气,mapped,3450,reviewed_operational_mapping,同义词或标准原词
工业废料（用于燃料）,,outside_fossil_scope,1,reviewed_operational_mapping,不属于本次化石燃料固定燃烧因子范围
无烟煤,煤炭,mapped,130,reviewed_operational_mapping,同义词或标准原词
柴油,柴油,mapped,315,reviewed_operational_mapping,同义词或标准原词
润滑油,其它石油制品,mapped,1,reviewed_operational_mapping,同义词或标准原词
液化天然气,液化天然气,mapped,61,reviewed_operational_mapping,同义词或标准原词
液化石油气,液化石油气,mapped,172,reviewed_operational_mapping,同义词或标准原词
炼厂干气,炼厂干气,mapped,7,reviewed_operational_mapping,同义词或标准原词
焦炉煤气,焦炉煤气,mapped,17,reviewed_operational_mapping,同义词或标准原词
焦炭,焦炭,mapped,1,reviewed_operational_mapping,同义词或标准原词
煤制品,煤炭,mapped,10,reviewed_operational_mapping,同义词或标准原词
煤矸石（用于燃料）,煤矸石,mapped,4,reviewed_operational_mapping,同义词或标准原词
燃料油,燃料油,mapped,22,reviewed_operational_mapping,同义词或标准原词
生物燃料,,outside_fossil_scope,1,reviewed_operational_mapping,不属于本次化石燃料固定燃烧因子范围
石油焦,石油焦,mapped,9,reviewed_operational_mapping,同义词或标准原词
褐煤,煤炭,mapped,30,reviewed_operational_mapping,同义词或标准原词
转炉煤气,转炉煤气,mapped,3,reviewed_operational_mapping,同义词或标准原词
高炉煤气,高炉煤气,mapped,23,reviewed_operational_mapping,同义词或标准原词
